Date,Temp_Day,Temp_Night,Humidity,Rainfall,Wind_Speed
2024-07-16,32.9,5.2,62,0.0,6.4
2024-07-17,32.7,10.3,78,10.0,5.9
2024-07-18,30.6,13.8,58,0.1,5.0
2024-07-19,27.8,10.9,72,0.0,1.1
2024-07-20,16.7,11.6,51,0.0,6.3
2024-07-21,18.2,18.6,55,0.0,2.5
2024-07-22,33.0,10.2,57,0.0,6.8
2024-07-23,27.1,12.7,79,0.0,7.8
2024-07-24,15.2,16.8,50,0.0,5.5
2024-07-25,17.0,10.9,78,20.0,5.9
2024-07-26,28.3,14.3,36,0.0,9.6
2024-07-27,15.1,17.9,46,5.0,8.6
2024-07-28,18.2,19.2,49,20.0,9.2
2024-07-29,26.0,7.2,70,0.0,8.3
2024-07-30,28.8,18.9,78,5.0,2.0
2024-07-31,28.0,12.4,49,0.0,2.3
2024-08-01,19.5,8.9,83,10.0,5.7
2024-08-02,29.2,11.9,51,0.0,3.2
2024-08-03,19.7,19.7,57,0.0,5.3
2024-08-04,21.5,12.4,69,0.0,4.5
2024-08-05,29.9,9.9,78,5.0,5.9
2024-08-06,28.0,14.5,36,0.1,7.7
2024-08-07,32.0,8.6,30,0.0,7.4
2024-08-08,28.2,6.1,61,5.0,5.7
2024-08-09,26.4,6.9,42,0.0,8.4
2024-08-10,16.9,6.9,59,0.0,4.9
2024-08-11,22.4,7.3,52,0.0,9.1
2024-08-12,20.3,7.1,80,0.0,1.6
2024-08-13,19.9,14.6,88,0.0,9.6
2024-08-14,34.5,7.7,85,10.0,6.9
2024-08-15,22.9,10.2,48,0.0,4.4
2024-08-16,32.8,18.5,61,0.0,2.8
2024-08-17,27.6,12.1,59,0.0,5.3
2024-08-18,30.9,15.0,58,5.0,2.8
2024-08-19,25.1,7.6,78,20.0,2.5
2024-08-20,26.5,7.9,74,0.0,6.6
2024-08-21,24.9,5.6,58,5.0,5.7
2024-08-22,18.9,7.5,59,0.0,7.0
2024-08-23,29.4,9.2,45,5.0,9.4
2024-08-24,20.6,7.7,69,0.0,5.8
2024-08-25,15.5,6.3,48,10.0,6.2
2024-08-26,27.9,6.8,47,0.0,1.8
2024-08-27,18.5,11.9,30,0.0,7.5
2024-08-28,33.8,8.1,43,0.1,4.6
2024-08-29,34.1,10.5,80,0.0,9.8
2024-08-30,33.3,12.6,76,0.0,8.4
2024-08-31,22.4,15.4,79,0.0,5.7
2024-09-01,15.3,5.6,31,0.0,2.1
2024-09-02,33.6,17.0,83,0.0,8.7
2024-09-03,23.6,14.4,57,0.0,8.2
2024-09-04,34.3,6.2,78,0.0,2.7
2024-09-05,34.3,18.1,79,0.0,3.7
2024-09-06,32.1,18.8,59,5.0,8.1
2024-09-07,20.9,5.9,67,0.0,2.7
2024-09-08,22.7,9.2,80,0.0,9.3
2024-09-09,32.0,17.1,33,0.0,4.8
2024-09-10,21.3,16.2,30,0.0,1.8
2024-09-11,18.4,7.8,37,5.0,8.3
2024-09-12,26.1,8.1,58,0.0,4.4
2024-09-13,33.7,10.6,84,0.0,5.7
2024-09-14,28.9,12.3,68,0.1,2.0
2024-09-15,26.4,14.3,32,0.1,1.0
2024-09-16,16.9,10.5,61,0.0,6.7
2024-09-17,27.3,11.9,39,0.1,5.6
2024-09-18,34.8,16.2,39,10.0,6.3
2024-09-19,17.8,5.6,48,0.0,8.1
2024-09-20,25.4,8.8,75,0.1,6.8
2024-09-21,32.5,15.7,63,0.1,2.6
2024-09-22,29.8,18.4,89,0.0,4.2
2024-09-23,28.9,12.7,62,0.0,9.2
2024-09-24,29.0,13.0,52,0.0,7.9
2024-09-25,22.2,6.6,84,5.0,6.0
2024-09-26,20.9,11.7,57,20.0,3.3
2024-09-27,31.2,13.0,61,0.0,3.7
2024-09-28,31.2,8.6,79,0.0,7.6
2024-09-29,32.3,9.0,36,0.0,8.7
2024-09-30,33.3,10.7,58,0.0,7.0
2024-10-01,25.2,5.3,37,0.0,8.3
2024-10-02,25.0,9.8,30,0.0,7.9
2024-10-03,31.0,8.2,86,5.0,2.3
2024-10-04,28.0,9.9,84,0.0,4.8
2024-10-05,29.0,6.8,32,5.0,2.4
2024-10-06,30.9,18.4,53,0.0,3.1
2024-10-07,32.8,13.9,52,0.0,8.8
2024-10-08,21.8,15.2,88,0.0,5.3
2024-10-09,22.5,16.8,37,0.0,5.8
2024-10-10,16.9,12.5,83,10.0,2.6
2024-10-11,26.6,6.3,86,0.0,3.8
2024-10-12,15.7,13.1,76,5.0,3.1
2024-10-13,24.3,13.8,66,0.0,2.9
2024-10-14,25.9,16.2,32,5.0,6.7
2024-10-15,20.7,11.5,80,0.0,3.3
2024-10-16,26.8,6.9,62,5.0,6.7
2024-10-17,15.6,9.3,57,0.1,1.5
2024-10-18,15.7,10.4,76,0.0,2.3
2024-10-19,31.5,14.7,37,0.0,3.5
2024-10-20,22.2,13.6,63,5.0,6.4
2024-10-21,17.5,10.3,64,20.0,7.1
2024-10-22,25.4,19.8,61,0.0,5.0
2024-10-23,30.4,14.1,53,0.1,5.0
2024-10-24,19.3,8.6,43,10.0,7.5
2024-10-25,27.5,6.5,61,5.0,1.1
2024-10-26,16.7,7.3,85,20.0,4.1
2024-10-27,16.0,8.7,75,0.1,8.4
2024-10-28,25.6,7.4,72,0.0,6.4
2024-10-29,25.8,7.8,45,0.0,4.0
2024-10-30,27.7,9.3,33,0.0,9.1
2024-10-31,29.5,7.6,81,0.1,8.0
2024-11-01,34.5,18.5,66,0.1,3.4
2024-11-02,25.3,6.2,83,0.0,6.8
2024-11-03,21.5,12.9,50,5.0,6.4
2024-11-04,30.9,11.2,43,0.1,4.6
2024-11-05,20.4,19.7,60,0.0,4.3
2024-11-06,23.8,6.7,84,0.0,4.1
2024-11-07,16.6,11.0,77,0.0,6.6
2024-11-08,15.5,19.5,47,0.0,5.0
2024-11-09,34.3,18.0,36,0.0,8.5
2024-11-10,31.7,17.3,39,0.0,7.0
2024-11-11,28.9,8.9,36,0.0,1.6
2024-11-12,23.2,7.6,62,0.0,6.8
2024-11-13,18.5,15.0,52,0.0,3.4
2024-11-14,18.1,18.9,50,0.0,6.3
2024-11-15,20.0,13.4,48,0.1,7.1
2024-11-16,26.0,13.6,77,0.0,3.1
2024-11-17,29.3,9.2,48,10.0,5.1
2024-11-18,28.2,16.5,65,20.0,2.7
2024-11-19,20.6,7.8,58,0.0,1.5
2024-11-20,34.1,9.9,89,0.0,4.4
2024-11-21,29.8,11.4,47,0.0,4.3
2024-11-22,26.1,12.6,31,0.0,10.0
2024-11-23,27.2,8.6,30,0.0,5.0
2024-11-24,23.4,6.7,76,0.0,4.0
2024-11-25,20.0,14.2,34,0.0,6.2
2024-11-26,22.1,9.3,49,0.0,1.8
2024-11-27,30.2,13.7,40,0.0,9.7
2024-11-28,15.3,7.3,71,0.0,6.7
2024-11-29,17.3,12.2,31,0.0,7.8
2024-11-30,15.9,13.0,32,0.0,2.5
2024-12-01,15.8,5.8,52,0.0,4.7
2024-12-02,32.1,10.0,84,20.0,4.8
2024-12-03,29.1,7.0,41,0.0,8.4
2024-12-04,24.5,6.0,49,0.0,1.0
2024-12-05,17.0,19.8,34,0.0,3.7
2024-12-06,24.8,9.8,66,0.0,9.8
2024-12-07,24.5,17.1,67,20.0,5.3
2024-12-08,18.5,8.8,59,0.1,4.4
2024-12-09,23.7,15.2,38,0.0,2.1
2024-12-10,23.0,16.4,63,0.1,9.8
2024-12-11,27.3,13.9,82,20.0,1.2
2024-12-12,27.7,12.1,73,10.0,7.6
2024-12-13,15.9,11.2,64,0.1,7.9
2024-12-14,22.5,10.2,81,0.1,3.2
2024-12-15,27.5,18.9,87,0.0,7.0
2024-12-16,25.1,17.5,51,0.0,1.8
2024-12-17,32.1,19.5,73,0.0,3.3
2024-12-18,28.2,6.9,53,0.0,8.1
2024-12-19,18.3,16.0,46,0.0,8.8
2024-12-20,16.4,19.1,39,0.0,6.5
2024-12-21,27.8,7.7,59,0.0,5.6
2024-12-22,15.5,6.0,85,0.1,2.4
2024-12-23,26.7,16.1,88,10.0,1.6
2024-12-24,33.8,13.6,75,0.0,2.1
2024-12-25,26.5,17.6,52,0.0,3.0
2024-12-26,22.8,7.1,61,5.0,4.1
2024-12-27,27.9,16.9,46,0.0,4.4
2024-12-28,24.2,8.0,79,5.0,4.1
2024-12-29,25.9,7.5,80,0.0,3.2
2024-12-30,33.8,7.5,46,0.0,5.6
2024-12-31,22.7,17.2,43,20.0,8.4
